City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pevek,69.7008,170.3133,-12.75,74,1,5.47,RU,1681761339
84,hofn,64.2539,-15.2082,9.01,93,75,3.6,IS,1681761339
85,male,4.1748,73.5089,28.97,84,20,0.0,MV,1681761074
86,quimper,48.0,-4.1,13.32,62,0,4.63,FR,1681761267
87,sivas,39.7916,37.0019,12.35,40,0,1.03,TR,1681761340
88,velingara,13.15,-14.1167,36.83,14,62,0.47,SN,1681761340
89,coihaique,-45.5752,-72.0662,7.97,61,75,3.6,CL,1681761340
90,rundu,-17.9333,19.7667,23.02,37,76,2.25,NA,1681761340
91,le vauclin,14.5452,-60.8388,30.03,58,24,5.66,MQ,1681761340
92,bluff,-46.6,168.3333,11.56,88,100,1.44,NZ,1681761341
93,hami,42.8,93.45,18.85,26,42,0.91,CN,1681761341
94,karakol,42.4907,78.3936,5.64,84,100,2.32,KG,1681761341
95,barrow,71.2906,-156.7887,-21.99,84,0,5.66,US,1681761341
96,port blair,11.6667,92.75,27.68,77,42,1.29,IN,1681761341
97,butia,-30.1197,-51.9622,20.44,65,100,2.91,BR,1681761341
98,tasiilaq,65.6145,-37.6368,3.09,90,100,9.13,GL,1681761342
99,lanigan,51.8501,-105.0344,10.94,47,97,9.81,CA,1681761305
100,bredasdorp,-34.5322,20.0403,14.87,86,2,0.47,ZA,1681761342
101,sao filipe,14.8961,-24.4956,24.03,77,6,4.95,CV,1681761342
102,havoysund,70.9963,24.6622,5.13,87,97,7.89,NO,1681761343
103,vila velha,-20.3297,-40.2925,28.97,79,20,6.17,BR,1681761343
104,ewa beach,21.3156,-158.0072,27.97,64,0,2.57,US,1681761343
105,tumarbong,10.3766,119.4579,25.53,86,98,0.69,PH,1681761343
106,atuona,-9.8,-139.0333,27.42,79,30,8.84,PF,1681761343
107,kahului,20.8947,-156.47,27.13,65,20,0.0,US,1681761327
108,rovaniemi,66.5,25.7167,5.67,56,0,3.09,FI,1681761344
