City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,baturaja,-4.1333,104.1667,23.3,99,100,0.57,ID,1681759696
84,lata,40.1629,-8.3327,18.95,47,76,2.11,PT,1681759290
85,sawtell,-30.3833,153.1,18.01,72,75,4.12,AU,1681759697
86,puerto ayora,-0.7393,-90.3518,28.98,90,91,3.58,EC,1681759251
87,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,1.54,EC,1681759368
88,avarua,-21.2078,-159.775,25.03,57,30,6.17,CK,1681759360
89,fairbanks,64.8378,-147.7164,-3.38,73,75,2.57,US,1681759232
90,sola,-13.8833,167.55,26.94,77,100,4.66,VU,1681759701
91,barauna,-5.08,-37.6167,30.5,77,72,4.54,BR,1681759702
92,mangochi,-14.4782,35.2645,19.99,92,39,3.16,MW,1681759703
93,formello,42.0801,12.3998,14.68,78,68,3.23,IT,1681759704
94,pietarsaari,63.65,22.6833,1.11,76,100,4.05,FI,1681759704
95,dzaoudzi,-12.7887,45.2699,27.94,78,0,3.09,YT,1681759704
96,grand-lahou,5.1367,-5.0242,27.25,87,97,3.11,CI,1681759705
97,virginia beach,36.8529,-75.978,22.81,33,75,10.29,US,1681759550
98,oussouye,12.485,-16.5469,31.1,56,13,5.1,SN,1681759706
99,victoria,22.2855,114.1577,26.29,89,6,3.58,HK,1681759657
100,amapa,1.0,-52.0,24.23,98,100,1.43,BR,1681759707
101,ternate,0.8,127.4,26.97,80,68,2.57,ID,1681759707
102,olds,51.7834,-114.102,7.08,48,100,11.83,CA,1681759501
103,benguela,-12.5763,13.4055,26.46,84,54,1.23,AO,1681759709
104,zhangye,38.9342,100.4517,16.94,29,100,3.91,CN,1681759710
105,menongue,-14.6585,17.691,17.9,70,47,2.76,AO,1681759710
106,saint anthony,45.0205,-93.218,8.03,49,20,10.8,US,1681759710
107,baherden,38.4362,57.4316,12.75,27,0,4.58,TM,1681759710
108,yuci,37.6803,112.7319,17.86,24,3,3.0,CN,1681759711
109,canon city,38.441,-105.2424,23.43,10,0,5.81,US,1681759711
110,roebourne,-20.7833,117.1333,23.08,29,91,4.54,AU,1681759711
111,sao joao da barra,-21.6403,-41.0511,29.05,78,19,5.75,BR,1681759399
112,lebu,-37.6167,-73.65,12.77,64,17,7.64,CL,1681759334
